custnum,saledate,Equipsales
130095,2017-10-01,195033
130815,2015-03-01,245470
224525,2018-06-01,368440
144218,2018-11-01,80815
128874,2015-06-01,755559
129642,2015-08-01,75320
141304,2018-07-01,81722
248606,2016-01-01,97606
248606,2016-10-01,285926
254010,2018-05-01,353454
144208,2017-12-01,117270.16
247453,2017-03-01,111793
162454,2016-10-01,181425
162454,2016-01-01,190164
167219,2018-03-01,116394
242270,2018-08-01,77108
181265,2017-10-01,131868
170518,2016-09-01,170672.38
148239,2017-06-01,135025
171973,2018-08-01,112411
224210,2016-05-01,116711
250961,2016-06-01,192744
224210,2015-06-01,156320
167706,2018-09-01,88870
144527,2018-12-01,278751
107963,2015-07-01,159914
108870,2016-12-01,300855.5
223137,2018-02-01,825958
139989,2018-05-01,75072.8
172719,2016-08-01,105631
139257,2017-10-01,138573
243759,2017-08-01,117634.76
234122,2015-12-01,112177
184631,2018-11-01,153555
161811,2017-04-01,140760
244264,2018-04-01,87355.75
106036,2017-03-01,144199.18
700700,2017-06-01,399019.47
159936,2016-06-01,330739.62
178992,2018-09-01,144810
150473,2017-07-01,117066.2
147822,2017-06-01,83251
900900,2015-03-01,332442
227142,2016-01-01,111432
109874,2016-07-01,132368
167629,2018-06-01,115133
223662,2016-10-01,93540.6
146351,2017-11-01,304382
222356,2017-05-01,242399
152351,2016-04-01,204738
220379,2017-06-01,112265
133176,2017-04-01,1140380.43
